SiteID,OrgTypeIDParent,OrgTypeId,OrgTypeName,BuildingID,FloorID,RoomID,RoomName,Remarks,RoomArea,ChargeBackAssignment,OccLoad
Westchester,Administration,CC_60012,Conference Services (Auxiliary),UNH,01,1000,Auditorium,Ahmanson AUDITORIUM,2437,Assignable,
Westchester,Administration,CC_60012,Conference Services (Auxiliary),UNH,01,1003,Storage Room,,545,Assignable,
Westchester,Administration,CC_60012,Conference Services (Auxiliary),UNH,01,1005,Storage Room,,40,Assignable,
Westchester,Administration,CC_60012,Conference Services (Auxiliary),UNH,01,1007,Storage Room,,62,Assignable,
Westchester,,,,UNH,01,1009,Storage Room,,42,Assignable,
Westchester,Administration,CC_60014,Facilities Management ,UNH,01,1012,Storage Room,,51,Assignable,
Westchester,,,,UNH,01,1014,Restroom All Gender,,399,Common,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1100,Open Office,One Card Office,197,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1101,Office,,129,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1102,Work Room,,129,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1103,Pantry,Break Room ,193,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1104,Office,,75,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1105,Office,,75,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1106,Office,,75,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1107,Office,,88,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1108,Office,,75,Assignable,
Westchester,Administration,CC_60009,Campus Business Operations,UNH,01,1109,Conference Room,,143,Assignable,
Westchester,Administration,CC_60008,Auxiliary Business Management,UNH,01,1112,Storage Room,,68,Assignable,
Westchester,Administration,CC_60008,Auxiliary Business Management,UNH,01,1113,Storage Room,,190,Assignable,
Westchester,,,,UNH,01,1114,Tel/Data,,228,Common,
Westchester,Administration,CC_60008,Auxiliary Business Management,UNH,01,1115,Mail Room,Mail distribution center,429,Assignable,
Westchester,Enrollment_Management_Hierarchy,CC_21009,EM - Office of the Registrar,UNH,01,1218,Classroom,,788,Assignable,
Westchester,Enrollment_Management_Hierarchy,CC_21009,EM - Office of the Registrar,UNH,01,1222,Classroom,,694,Assignable,
Westchester,Enrollment_Management_Hierarchy,CC_21009,EM - Office of the Registrar,UNH,01,1226,Classroom, Classroom,723,Assignable,
Westchester,SOE,CC_80009,SOE Center for Equity for English,UNH,01,1300,Lobby,,448,Assignable,
Westchester,SOE,CC_80009,SOE Center for Equity for English,UNH,01,1302,Office,,101,Assignable,
Westchester,SOE,CC_80008,Specialized Programs in Professional Psychology,UNH,01,1304,Office,OFFICE,219,Assignable,
Westchester,SOE,CC_80001,SOE Administration,UNH,01,1310,Conference Room,,621,Assignable,
Westchester,SOE,CC_80009,SOE Center for Equity for English,UNH,01,1315,Pantry,STAFF RM,86,Assignable,
Westchester,SOE,CC_80008,Specialized Programs in Professional Psychology,UNH,01,1317,Office,OFFICE,150,Assignable,
Westchester,SOE,CC_80009,SOE Center for Equity for English,UNH,01,1323,Office,Conference Room,262,Assignable,
Westchester,SOE,CC_80009,SOE Center for Equity for English,UNH,01,1325,Office,OFFICE,102,Assignable,
Westchester,SOE,CC_80009,SOE Center for Equity for English,UNH,01,1327,Office,OFFICE,127,Assignable,
